customer_id,customer_name,email,phone,address,city,country,registration_date
CUST000001,Customer 1,customer1@example.com,0987488379,998 Street,Hue,Korea,2023-12-11
CUST000002,Customer 2,customer2@example.com,0987522175,938 Street,Ho Chi Minh,Australia,2025-01-15
CUST000003,Customer 3,customer3@example.com,0987897856,772 Street,Hue,USA,2024-07-19
CUST000004,Customer 4,customer4@example.com,0987715753,801 Street,Nha Trang,Japan,2023-11-24
CUST000005,Customer 5,customer5@example.com,0987652995,185 Street,Da Nang,Singapore,2025-08-28
CUST000006,Customer 6,customer6@example.com,0987961642,892 Street,Nha Trang,Korea,2024-04-24
CUST000007,Customer 7,customer7@example.com,0987916402,34 Street,Hue,Korea,2023-12-04
CUST000008,Customer 8,customer8@example.com,0987925043,24 Street,Hue,Korea,2025-06-18
CUST000009,Customer 9,customer9@example.com,0987631877,484 Street,Ho Chi Minh,USA,2025-08-18
CUST000010,Customer 10,customer10@example.com,0987807800,769 Street,Nha Trang,Vietnam,2024-08-21
CUST000011,Customer 11,customer11@example.com,0987528639,529 Street,Can Tho,Vietnam,2024-07-26
CUST000012,Customer 12,customer12@example.com,0987330116,932 Street,Hanoi,Vietnam,2025-06-06
CUST000013,Customer 13,customer13@example.com,0987187673,690 Street,Can Tho,Vietnam,2025-04-06
CUST000014,Customer 14,customer14@example.com,0987501379,538 Street,Hanoi,UK,2025-06-24
CUST000015,Customer 15,customer15@example.com,0987569048,997 Street,Hai Phong,Singapore,2025-10-31
CUST000016,Customer 16,customer16@example.com,0987648679,568 Street,Hue,Japan,2023-06-13
CUST000017,Customer 17,customer17@example.com,0987799601,402 Street,Hanoi,Vietnam,2024-01-16
CUST000018,Customer 18,customer18@example.com,0987113788,418 Street,Da Nang,Vietnam,2024-07-05
CUST000019,Customer 19,customer19@example.com,0987812852,521 Street,Hai Phong,UK,2023-07-26
CUST000020,Customer 20,customer20@example.com,0987957817,387 Street,Hue,Australia,2023-03-30
CUST000021,Customer 21,customer21@example.com,0987147347,183 Street,Hanoi,Vietnam,2025-01-01
CUST000022,Customer 22,customer22@example.com,0987692680,567 Street,Nha Trang,USA,2025-06-28
CUST000023,Customer 23,customer23@example.com,0987773216,973 Street,Hai Phong,Vietnam,2024-09-15
CUST000024,Customer 24,customer24@example.com,0987188571,93 Street,Hai Phong,Korea,2024-01-08
